verbatim,diagnosis,comment,verbatim_trans_fr,diagnosis_trans_fr,comment_trans_fr,text,ce
SUONA DURANTE LA GUIDA,CONFIGURAZIONE DEL QUADRO DELLE STRUMENTAZIONE,CONFIGURAZIONE DEL QUADRO DELLE STRUMENT,JOUE EN CONDUISANT,CONFIGURATION DU TABLEAU DE BORD,CONFIGURATION DU TABLEAU DE BORD,JOUE EN CONDUISANT. CONFIGURATION DU TABLEAU DE BORD. CONFIGURATION DU TABLEAU DE BORD,inex
CLIENTE SE QUEJA DE QUE NO MARCA EL NIVEL DE GASOLINA EN CUADRO DE INSTRUMENTOS,CUADRO DE INSTRUMENTOS CON ANOMALIA INTERIOR,SE HACEN LAS CORRESPONDIENTES COMPROBACIONES SE SOLICITA UNA FIC CON NUMERO 4-10653623 DONDE SE NOS INDICA REALIZAR//DIAGNOSTICO GUIADO Y SUSTITUIR CUADRO DE INSTRUMENTOS. LUEGO SE SOLICITA UNA SEGUNDA FIC CON NÚMERO 4-10780227 PARA LA//CONFIGURACION DEL CUADRO DE INSTRUMENTOS SIENDO TODO CORRECTO.,LE CLIENT SE PLAINT QUE LE NIVEAU DE CARBURANT N'INDIQUE PAS SUR LE TABLEAU DE BORD,TABLEAU DE BORD AVEC ANOMALIE INTERNE,"LES CONTRÔLES CORRESPONDANTS SONT EFFECTUÉS, UN FIC AVEC LE NUMÉRO 4-10653623 EST DEMANDÉ, OÙ NOUS SOMMES INSTRUCTIONS D'EFFECTUER UN DIAGNOSTIC GUIDÉ ET DE REMPLACER LE TABLEAU DE BORD. ALORS UN DEUXIÈME FIC EST DEMANDÉ AVEC LE NUMÉRO 4-10780227 POUR LA CONFIGURATION DU TABLEAU DE BORD, TOUT EST CORRECT.","LE CLIENT SE PLAINT QUE LE NIVEAU DE CARBURANT N'INDIQUE PAS SUR LE TABLEAU DE BORD. TABLEAU DE BORD AVEC ANOMALIE INTERNE. LES CONTRÔLES CORRESPONDANTS SONT EFFECTUÉS, UN FIC AVEC LE NUMÉRO 4-10653623 EST DEMANDÉ, OÙ NOUS SOMMES INSTRUCTIONS D'EFFECTUER UN DIAGNOSTIC GUIDÉ ET DE REMPLACER LE TABLEAU DE BORD. ALORS UN DEUXIÈME FIC EST DEMANDÉ AVEC LE NUMÉRO 4-10780227 POUR LA CONFIGURATION DU TABLEAU DE BORD, TOUT EST CORRECT.",fuel gauge issue
CTRL JAUGE NE FONCTION PAS,,CONFIGURAT TB GRADUATI PLANT,CTRL JAUGE NE FONCTION PAS,,USINE DE DIPLÔMÉS TB CONFIGURÉE,CTRL JAUGE NE FONCTION PAS. USINE DE DIPLÔMÉS TB CONFIGURÉE,fuel gauge issue
CENTRALISATION NE FONCTIONNE PAS,,message porte avg ouverte controle serrure et cablage,CENTRALISATION NE FONCTIONNE PAS,,message porte avg ouverte controle serrure et cablage,CENTRALISATION NE FONCTIONNE PAS. message porte avg ouverte controle serrure et cablage,out of scope
Display prüfen leuchtet nicht,,siehe Ta-Nr.:4-09793180,L'affichage de contrôle ne s'allume pas,,voir Ta-Nr.:4-09793180,L'affichage de contrôle ne s'allume pas. voir Ta-Nr.:4-09793180,inex
LE REGULATEUR DE VITESSES SE COUPE TOUT SEUL IMPOSSIBLE DE METTRE LE MODE B,PROG TABLEAU DE BORD + BCB +PEB + BMS,8265 POUR DIAG RECHERCHE DE SOLUTIONS,LE REGULATEUR DE VITESSES SE COUPE TOUT SEUL IMPOSSIBLE DE METTRE LE MODE B,PROG TABLEAU DE BORD + BCB +PEB + BMS,8265 POUR DIAG RECHERCHE DE SOLUTIONS,LE REGULATEUR DE VITESSES SE COUPE TOUT SEUL IMPOSSIBLE DE METTRE LE MODE B. PROG TABLEAU DE BORD + BCB +PEB + BMS. 8265 POUR DIAG RECHERCHE DE SOLUTIONS,out of scope
LE HAN REPOSTADO 20 EUROS DE COMBUSTIBLE Y LA AGUJA ESTA ABAJO,CONFIGURAR CUADRO INSTRUMENTOS,I165/ CONFIGURACION CUADRO INSTRUMENTOS//I165/ CONFIGURACION CUADRO INSTRUMENTOS,ILS ONT RAVITAILLÉ 20 EUROS DE CARBURANT ET L'AIGUILLE EST EN BAISSE,CONFIGURER LE TABLEAU DE BORD,I165 CONFIGURATION TABLEAU DE BORD SI165 CONFIGURATION TABLEAU DE BORD,ILS ONT RAVITAILLÉ 20 EUROS DE CARBURANT ET L'AIGUILLE EST EN BAISSE. CONFIGURER LE TABLEAU DE BORD. I165 CONFIGURATION TABLEAU DE BORD SI165 CONFIGURATION TABLEAU DE BORD,fuel gauge issue
,,CODE 0834 POUR DIAG VIA CLIP//CODE A4HL POUR CAUE CAR PAS RMP DE PIECE,,,CODE 0834 POUR DIAG VIA CLIPCODE A4HL POUR CAUE CAR PAS RMP DE PIECE, . CODE 0834 POUR DIAG VIA CLIPCODE A4HL POUR CAUE CAR PAS RMP DE PIECE,inex
,,CODE 0834 POUR DIAG VIA CLIP//CODE A4HL POUR CONFIG ET POUR CAUSE CAR PAS RMP DE PR,,,CODE 0834 POUR DIAG VIA CLIPCODE A4HL POUR CONFIG ET POUR CAUSE CAR PAS RMP DE PR, . CODE 0834 POUR DIAG VIA CLIPCODE A4HL POUR CONFIG ET POUR CAUSE CAR PAS RMP DE PR,inex
,,CODE 0834 POUR CTL DTC VIA CLIP//CODE A4HL POUR CAUSE CAR PAS RMP DE PR,,,CODE 0834 POUR CTL DTC VIA CLIPCODE A4HL POUR CAUSE CAR PAS RMP DE PR, . CODE 0834 POUR CTL DTC VIA CLIPCODE A4HL POUR CAUSE CAR PAS RMP DE PR,inex
,,CODE 0834 POUR PASSAGE VALISE VIA CLIP ET COMME LES AUTRES CONFIG AUTO VIA CLIP//CODE A4HL POUR CAUSE PAS RMP DE PR,,,CODE 0834 POUR PASSAGE VALISE VIA CLIP ET COMME LES AUTRES CONFIG AUTO VIA CLIPCODE A4HL POUR CAUSE PAS RMP DE PR, . CODE 0834 POUR PASSAGE VALISE VIA CLIP ET COMME LES AUTRES CONFIG AUTO VIA CLIPCODE A4HL POUR CAUSE PAS RMP DE PR,inex
PROBLEME INDICATION CARBURANT,TABLEAU DE BORD A REPROGRAMMER,"CONSTATATION MAUVAISE INDICATION JAUGE CARBURANT, REPROGRAMMATION TABLEAU DE BORD POUR RESOUDRE LE PROBLEME.",PROBLEME INDICATION CARBURANT,TABLEAU DE BORD A REPROGRAMMER,"CONSTATATION MAUVAISE INDICATION JAUGE CARBURANT, REPROGRAMMATION TABLEAU DE BORD POUR RESOUDRE LE PROBLEME.","PROBLEME INDICATION CARBURANT. TABLEAU DE BORD A REPROGRAMMER. CONSTATATION MAUVAISE INDICATION JAUGE CARBURANT, REPROGRAMMATION TABLEAU DE BORD POUR RESOUDRE LE PROBLEME.",fuel gauge issue
Fuel gauge not reading correctly.,"Carried out auto configuration of instrumental panel,reseted to cure issue,tested all ok.","Confirmed customer complaint of fuel gauge not reading correctly.Carried out auto configuration of instrumental panel,re//eseted to cure issue,tested,all ok.",La jauge de carburant ne lit pas correctement.,"Effectué la configuration automatique du panneau instrumental, réinitialisé pour résoudre le problème, testé tout ok.","Réclamation client confirmée concernant la jauge de carburant qui ne se lit pas correctement. Configuration automatique du panneau instrumental, réinitialisé pour résoudre le problème, testé, tout va bien.","La jauge de carburant ne lit pas correctement. Effectué la configuration automatique du panneau instrumental, réinitialisé pour résoudre le problème, testé tout ok. Réclamation client confirmée concernant la jauge de carburant qui ne se lit pas correctement. Configuration automatique du panneau instrumental, réinitialisé pour résoudre le problème, testé, tout va bien.",fuel gauge issue
JAUGE CARBURANT NE REMONTE PAS PAR INTERMITTENCE,TABLEAU DE BORD A REPROGRAMMER,"CONSTATATION MAUVAISE INDICATION JAUGE CARBURANT, REPROGRAMMATION TABLEAU DE BORD POUR RESOUDRE LE PROBLEME.",JAUGE CARBURANT NE REMONTE PAS PAR INTERMITTENCE,TABLEAU DE BORD A REPROGRAMMER,"CONSTATATION MAUVAISE INDICATION JAUGE CARBURANT, REPROGRAMMATION TABLEAU DE BORD POUR RESOUDRE LE PROBLEME.","JAUGE CARBURANT NE REMONTE PAS PAR INTERMITTENCE. TABLEAU DE BORD A REPROGRAMMER. CONSTATATION MAUVAISE INDICATION JAUGE CARBURANT, REPROGRAMMATION TABLEAU DE BORD POUR RESOUDRE LE PROBLEME.",fuel gauge issue
MESSAGE RISQUE DE CASSE MOTEUR,,dtc11c198 filtre a particules en 1 def apres diag guidee G052 contrôle conformité du filtre a particule ok,MESSAGE RISQUE DE CASSE MOTEUR,,dtc11c198 filtre a particules en 1 def apres diag guidee G052 contrôle conformité du filtre a particule ok,MESSAGE RISQUE DE CASSE MOTEUR. dtc11c198 filtre a particules en 1 def apres diag guidee G052 contrôle conformité du filtre a particule ok,out of scope
jauge a carburant erronée,configuration auto tableau de bord,configuration auto tableau de bord,jauge a carburant erronée,configuration auto tableau de bord,configuration auto tableau de bord,jauge a carburant erronée. configuration auto tableau de bord. configuration auto tableau de bord,fuel gauge issue
MESSAGE VEHICULE A CONTROLER AFFICHE + CLE ALLUME PAR INTERMITTENCE,EFFACEMENT DEFAUT,PASSAGE CLIP POUR LECTURE DEFAUT. APPLICATION NOTE ACTIS 66233 AVEC EFFACEMENT DEFAUT. ESSAI: OK,MESSAGE VEHICULE A CONTROLER AFFICHE + CLE ALLUME PAR INTERMITTENCE,EFFACEMENT DEFAUT,PASSAGE CLIP POUR LECTURE DEFAUT. APPLICATION NOTE ACTIS 66233 AVEC EFFACEMENT DEFAUT. ESSAI: OK,MESSAGE VEHICULE A CONTROLER AFFICHE + CLE ALLUME PAR INTERMITTENCE. EFFACEMENT DEFAUT. PASSAGE CLIP POUR LECTURE DEFAUT. APPLICATION NOTE ACTIS 66233 AVEC EFFACEMENT DEFAUT. ESSAI: OK,out of scope
VOYANT CASSE MOTEUR ALLUME SOLUTION ACTIC 66753,EFFACEMENT DES DEFAUTS SELON SOLUTION ACTIS 66753,VOYANT CASSE MOTEUR ALLUME  SELON SOLUTION ACTIS 66753    FAUX DECTECTION DE PANNE EN COURS D'ANALYSE AU BUREAU ETUDE,VOYANT CASSE MOTEUR ALLUME SOLUTION ACTIC 66753,EFFACEMENT DES DEFAUTS SELON SOLUTION ACTIS 66753,VOYANT CASSE MOTEUR ALLUME  SELON SOLUTION ACTIS 66753    FAUX DECTECTION DE PANNE EN COURS D'ANALYSE AU BUREAU ETUDE,VOYANT CASSE MOTEUR ALLUME SOLUTION ACTIC 66753. EFFACEMENT DES DEFAUTS SELON SOLUTION ACTIS 66753. VOYANT CASSE MOTEUR ALLUME SELON SOLUTION ACTIS 66753  FAUX DECTECTION DE PANNE EN COURS D'ANALYSE AU BUREAU ETUDE,out of scope
,,zie i165,,,voir i165, . voir i165,inex
INDICATORE DEL CARBURANTE INCOERENTE,problema software,effettuata configurazione automatica. problema risolto,JAUGE DE CARBURANT INCOERENTE,problème logiciel,configuration automatique effectuée. problème résolu,JAUGE DE CARBURANT INCOERENTE. problème logiciel. configuration automatique effectuée. problème résolu,fuel gauge issue
COMPROBAR INDICADOR DE COMBUSTIBLE,CONFIGURAR CUADRO INSTRUMENTOS,CONFIGURAR CUADRO INSTRUMENTOS,VÉRIFIER LA JAUGE DE CARBURANT,CONFIGURER LE TABLEAU DE BORD,CONFIGURER LE TABLEAU DE BORD,VÉRIFIER LA JAUGE DE CARBURANT. CONFIGURER LE TABLEAU DE BORD. CONFIGURER LE TABLEAU DE BORD,fuel gauge issue
LANCETTA CARBURANTE OSCILLA TRA MIN E MAX,DA ESEGUIRE NUOVA CONFIGURAZIONE QUADRO STRUMENTI,ESEGUITA RIPROGRAMMAZIONE E CONFIGURAZIONE QUADRO PER ELIMINAZIONE ANOMALIA,LA MAIN DU CARBURANT SE BALANCE ENTRE LE MIN ET LE MAX,NOUVELLE CONFIGURATION TABLEAU DE BORD A EFFECTUER,REPROGRAMMATION ET CONFIGURATION DU PANNEAU EFFECTUEES POUR L'ELIMINATION DES ANOMALIES,LA MAIN DU CARBURANT SE BALANCE ENTRE LE MIN ET LE MAX. NOUVELLE CONFIGURATION TABLEAU DE BORD A EFFECTUER. REPROGRAMMATION ET CONFIGURATION DU PANNEAU EFFECTUEES POUR L'ELIMINATION DES ANOMALIES,fuel gauge issue
zle wskazania poziomu paliwa,,Wykonano test clip i kontrole ukladu wskazania              poziomu paliwa oraz kontrole okablowania.//Wykonano konfiguracje i ustawienie parametrow tablicy       wskaznikow//Brak nieprawidlowosci,mauvaise indication du niveau de carburant,,Le test des clips et les vérifications du système d'indication du niveau de carburant ainsi que les vérifications du câblage ont été effectués La configuration et le réglage des paramètres du tableau de bord ont été effectués Aucune anomalie,mauvaise indication du niveau de carburant. Le test des clips et les vérifications du système d'indication du niveau de carburant ainsi que les vérifications du câblage ont été effectués La configuration et le réglage des paramètres du tableau de bord ont été effectués Aucune anomalie,fuel gauge issue
SEGNALAZ. CARBURANTE ERRATA,ESEGUITO CONTROLLI CONTINUITA'- CONF.             CONTINUITA' QUADRO STRUMENTI,ESEGUITO CONTROLLI CONTINUITA' RICONFIGURAZ. QUADRO STRUMENTI,RAPPORTS MAUVAIS CARBURANT,CONTRÔLES DE CONTINUITÉ EFFECTUÉS - CONF. CONTINUITÉ DU TABLEAU DE BORD,VÉRIFICATIONS DE CONTINUITÉ EFFECTUÉES RECONFIGURATION TABLEAU DE BORD,RAPPORTS MAUVAIS CARBURANT. CONTRÔLES DE CONTINUITÉ EFFECTUÉS - CONF. CONTINUITÉ DU TABLEAU DE BORD. VÉRIFICATIONS DE CONTINUITÉ EFFECTUÉES RECONFIGURATION TABLEAU DE BORD,fuel gauge issue
SEGNALAZIONE CARBURANTE ERRATA,"ESEGUITO CONTROLLO CONTINUITA' RESISTENZA GALLEGGIANTE/QUADRO STRUMENTI, MASSE OK.",DIST RIATT QUADRO STRUMENTI PER SOSTITUZIONE,SIGNAL DE CARBURANT INCORRECT,"CONTRÔLE DE CONTINUITÉ EFFECTUÉ SUR LA RÉSISTANCE DU FLOTTEUR TABLEAU DE BORD, POIDS OK.",TABLEAU DE BORD DIST REACT POUR REMPLACEMENT,"SIGNAL DE CARBURANT INCORRECT. CONTRÔLE DE CONTINUITÉ EFFECTUÉ SUR LA RÉSISTANCE DU FLOTTEUR TABLEAU DE BORD, POIDS OK. TABLEAU DE BORD DIST REACT POUR REMPLACEMENT",fuel gauge issue
JAUGE DE CARBURANT FIXE,MAUVAISE CONFIGURATION TDB,8040: CONTROLE LITRAGE CARBURANT DANS RESERVOIR + PASSAGE CLIP//MAUVAISE CONFIGURATION TDB,JAUGE DE CARBURANT FIXE,MAUVAISE CONFIGURATION TDB,8040: CONTROLE LITRAGE CARBURANT DANS RESERVOIR + PASSAGE CLIPMAUVAISE CONFIGURATION TDB,JAUGE DE CARBURANT FIXE. MAUVAISE CONFIGURATION TDB. 8040: CONTROLE LITRAGE CARBURANT DANS RESERVOIR + PASSAGE CLIPMAUVAISE CONFIGURATION TDB,fuel gauge issue
Kundanm{rkning: Kontrollera avgasrening lyser ibland.,Fels¦kning/}tg{rd: Enligt actisl¦sning 64318.,"Fels¦kning/}tg{rd: Enligt actisl¦sning 64318.//Fels¦kning/}tg{rd: Enligt actisl¦sning 64318.//Provk¦rning efter }tg{rd, inga felsymptom uppst}r vid provk¦rning. Inga felkoder satta.",Note client : Vérifiez que la purification des gaz d'échappement est parfois allumée.,Dépannage} tg {rd : selon Actislæsing 64318.,"Dépannage} tg {rd : Selon Actislæsing 64318.Troubleshooting} tg {rd : Selon Actislæsing 64318.Test run after} tg {rd, aucun symptôme d'erreur ne se produit pendant le test. Aucun code d'erreur défini.","Note client : Vérifiez que la purification des gaz d'échappement est parfois allumée. Dépannage} tg {rd : selon Actislæsing 64318. Dépannage} tg {rd : Selon Actislæsing 64318.Troubleshooting} tg {rd : Selon Actislæsing 64318.Test run after} tg {rd, aucun symptôme d'erreur ne se produit pendant le test. Aucun code d'erreur défini.",out of scope
PROBLEME MESSAGE ANTI POLLUTION A CONTROLER S ALLUME,PROBLEME MESSAGE ANTI POLLUTION A CONTROLER S ALLUME-DIAGNOSTIC RECHERCHE DE PANNE,PROBLEME MESSAGE ANTI POLLUTION A CONTROLER S ALLUME-DIAGNOSTIC RECHERCHE DE PANNE//PASSAGE CLIP DTC20E800-EFFACEMENT CODES DEFAUT-PAS DE SOLUTION ACTIS//ESSAI ROUTIER - IMPOSSIBLE DE REPRODUIRE LA PANNE -,PROBLEME MESSAGE ANTI POLLUTION A CONTROLER S ALLUME,PROBLEME MESSAGE ANTI POLLUTION A CONTROLER S ALLUME-DIAGNOSTIC RECHERCHE DE PANNE,PROBLEME MESSAGE ANTI POLLUTION A CONTROLER S ALLUME-DIAGNOSTIC RECHERCHE DE PANNEPASSAGE CLIP DTC20E800-EFFACEMENT CODES DEFAUT-PAS DE SOLUTION ACTISESSAI ROUTIER - IMPOSSIBLE DE REPRODUIRE LA PANNE -,PROBLEME MESSAGE ANTI POLLUTION A CONTROLER S ALLUME. PROBLEME MESSAGE ANTI POLLUTION A CONTROLER S ALLUME-DIAGNOSTIC RECHERCHE DE PANNE. PROBLEME MESSAGE ANTI POLLUTION A CONTROLER S ALLUME-DIAGNOSTIC RECHERCHE DE PANNEPASSAGE CLIP DTC20E800-EFFACEMENT CODES DEFAUT-PAS DE SOLUTION ACTISESSAI ROUTIER - IMPOSSIBLE DE REPRODUIRE LA PANNE -,out of scope
,GÖSTERGE TABLOSUNDA SİNYAL İKAZLARI TAKI,GÖSTERGE TABLOSUNDA SİNYAL İKAZLARI TAKI//LI KALIYOR,,JOINDRE LES AVERTISSEMENTS DE SIGNAUX SUR LE TABLEAU DES INDICATEURS,LES SIGNALS D'AVERTISSEMENT RESTENT INSTALLÉS SUR LE TABLEAU INDICATEUR, JOINDRE LES AVERTISSEMENTS DE SIGNAUX SUR LE TABLEAU DES INDICATEURS. LES SIGNALS D'AVERTISSEMENT RESTENT INSTALLÉS SUR LE TABLEAU INDICATEUR,out of scope
,ARIZA ISIKLARI YANIYOR.I001,ARIZA ISIKLARI YANIYOR.I001,,DEFAUT VOYANTS ALLUMES.I001,DEFAUT VOYANTS ALLUMES.I001, DEFAUT VOYANTS ALLUMES.I001. DEFAUT VOYANTS ALLUMES.I001,inex
JAUGE NIVEAU CHARGE DESCEND QUAND ON BRANCHE LE VEHICULE,,suivant fic 4-10279266,JAUGE NIVEAU CHARGE DESCEND QUAND ON BRANCHE LE VEHICULE,,suivant fic 4-10279266,JAUGE NIVEAU CHARGE DESCEND QUAND ON BRANCHE LE VEHICULE. suivant fic 4-10279266,out of scope
Tageskilometerzähler löscht sich von selber,,"Tageskilometerzähler stellt sich auf null, Actislösung 61855 angewandt//Actislösung 61855 bitte für die Zukunft auf deutsch übersetzen",Le compteur journalier s'efface de lui-même,,"Le compteur journalier est réglé sur zéro, la solution Actis 61855 est appliquée Veuillez traduire la solution Actis 61855 en allemand pour l'avenir","Le compteur journalier s'efface de lui-même. Le compteur journalier est réglé sur zéro, la solution Actis 61855 est appliquée Veuillez traduire la solution Actis 61855 en allemand pour l'avenir",reset adac
